id,base_url,url,views,favorites,is_traditional,is_digital,Average_Hue,Average_Saturation,Average_Value,Average_Hue_Roughness,Average_Saturation_Roughness,Average_Value_Roughness,HUE_PALETTE_60,HUE_PALETTE_120,HUE_PALETTE_180,HUE_PALETTE_240,HUE_PALETTE_300,HUE_PALETTE_360,SAT_PALETTE_42,SAT_PALETTE_84,SAT_PALETTE_126,SAT_PALETTE_168,SAT_PALETTE_210,SAT_PALETTE_252,VAL_PALETTE_42,VAL_PALETTE_84,VAL_PALETTE_126,VAL_PALETTE_168,VAL_PALETTE_210,VAL_PALETTE_252,num_unique_hues,num_unique_sat,num_unique_vals,Value_Contrast,Color_Contrast,is_frontal_face,is_profile_face,face_size,face_x_20,face_x_40,face_x_60,face_x_80,face_x_100,face_y_20,face_y_40,face_y_60,face_y_80,face_y_100,eye_size,number_of_visible_eyes,eye_x_in_img_20,eye_x_in_img_40,eye_x_in_img_60,eye_x_in_img_80,eye_x_in_img_100,eye_y_in_img_20,eye_y_in_img_40,eye_y_in_img_60,eye_y_in_img_80,eye_y_in_img_100
21,http://solanart.deviantart.com/art/Photo-study-611235123,http://img04.deviantart.net/12d9/i/2016/146/e/e/photo_study_by_solanart-da3ww1f.jpg,108,35,0,1,18.974725,71.3766625,125.863370833,42.175037594,85.1252213868,84.2690183793,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,5,186.646057129,34.5230369568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,http://sockergris.deviantart.com/art/GOD-HAS-GIVEN-YOU-ONE-FACE-611163226,http://pre05.deviantart.net/8947/th/pre/f/2016/146/3/b/god_has_given_you_one_face_by_sockergris-da3vcka.png,62,33,0,1,16.1722781582,58.7463494709,20.4469904202,21.1482073533,40.7625304588,41.1438057261,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,4,1,6,232.008987427,347.717041016,1,0,0.0481382395509,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,http://bloodyrosetta77.deviantart.com/art/Aphmau-and-Aaron-611216484,http://img09.deviantart.net/e0cc/i/2016/146/f/4/aphmau_and_aaron_by_bloodyrosetta77-da3whno.png,97,33,0,1,51.3849752904,118.479085521,93.1391728206,8.57139114488,14.4696392201,18.8184649319,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,4,1,6,227.772583008,311.512481689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,http://mnaula58.deviantart.com/art/Fnaf-Sister-Location-Fun-Time-Foxy-Mexy-611196712,http://pre04.deviantart.net/131a/th/pre/i/2016/146/a/5/fnaf_sister_location_fun_time_foxy__mexy_by_mnaula58-da3w2eg.jpg,17,8,1,0,104.580180979,27.4903351161,154.853925045,51.6468706439,66.2608168617,93.0575215359,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,4,1,6,215.260101318,168.774490356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,http://camias.deviantart.com/art/BB8ReyST-611179239,http://pre04.deviantart.net/e401/th/pre/i/2016/146/3/b/bb8reyst_by_camias-da3vox3.jpg,26,7,1,0,26.1532472508,26.0387659496,162.029564279,7.46611410291,72.5432223192,113.026884834,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,5,153.843841553,14.2516212463,1,0,0.00596042906075,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,http://aljas.deviantart.com/art/Coma-611169839,http://img02.deviantart.net/277f/i/2016/146/8/c/coma_by_aljas-da3vhnz.jpg,14,7,1,0,0.0,0.0,213.510865566,0.0,0.0,84.885106383,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,4,173.212432861,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,http://orkideh84.deviantart.com/art/Dihya-the-Amazigh-Queen-Warrior-611129995,http://pre10.deviantart.net/cdbe/th/pre/i/2016/146/5/c/dihya___the_amazigh_queen_warrior_by_orkideh84-da3umx7.jpg,23,7,1,0,75.7980925122,140.981737005,189.067850423,57.9150621373,105.791555443,112.701138526,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,4,1,4,152.981933594,349.056976318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,http://tom1462.deviantart.com/art/Heath-Ledger-aka-Joker-611120180,http://img03.deviantart.net/8adb/i/2016/146/b/f/heath_ledger_aka_joker_by_tom1462-da3ufck.jpg,9,7,1,0,42.0586132812,48.9066783854,86.0511210937,62.0675594656,106.202376018,122.337014011,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,5,174.304092407,27.1748733521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,http://remyjuju.deviantart.com/art/floyd-mayweather-611166497,http://pre10.deviantart.net/2a53/th/pre/f/2016/146/1/2/untitled_by_remyjuju-da3vf35.jpg,17,6,1,0,51.2110273447,64.5274787912,199.36270501,44.8532515131,59.4305704803,93.2382369869,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,2,1,5,218.566650391,166.489746094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,http://pronastya.deviantart.com/art/Commission-17-in-movie-style-611150052,http://pre07.deviantart.net/0bbe/th/pre/i/2016/146/3/1/commission__17___in_movie_style_by_pronastya-da3v2ec.jpg,39,13,1,0,58.7276518338,47.921248723,128.812613925,38.217460413,58.8043199755,80.5717593289,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,3,1,6,179.37411499,264.8465271,1,0,0.00781328245498,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
